employee_id,department,salary,tenure,engagement_score,attrition,last_promotion_date,working_hours_per_month,kpi_score,work_life_balance_score,overtime_hours,job_satisfaction,number_of_projects,distance_from_home,trainings_and_certifications,hire_date,engagement_trend
E0000,Sales,93415.29,3.0,4.55,0,2021-03-24,184.0,73.5,3,5,5,2,29,1,2020-03-03,
E0001,Product Engineering,96271.81,1.0,3.52,0,2020-06-29,159.4,38.5,4,4,4,6,18,5,2019-02-25,
E0002,Marketing and Communications,64205.54,2.59,2.39,1,2022-08-15,158.3,23.2,2,12,1,2,27,3,2016-10-26,
E0003,Customer Success,73433.21,4.8,2.46,0,2022-05-13,197.6,23.8,3,7,3,2,7,1,2022-08-31,3.486666666666667
E0004,Finance,72146.17,2.6,1.44,0,2022-03-07,170.4,20.4,4,6,4,5,36,4,2016-12-15,2.7900000000000005
E0005,Finance,82281.83,3.4,4.58,0,2021-06-20,153.4,41.9,4,4,4,4,27,2,2016-12-28,2.096666666666667
E0006,TSS,79349.16,3.0,3.9,0,2021-02-25,131.5,18.8,4,6,4,4,10,7,2022-10-30,2.8266666666666667
E0007,Product Engineering,94538.91,1.3,2.26,0,2024-12-02,167.9,24.4,4,2,3,2,10,7,2018-02-10,3.3066666666666666
E0008,Customer Success,66685.87,4.8,3.38,0,2021-01-08,176.6,39.7,5,2,3,8,11,2,2020-05-17,3.58
E0009,Marketing and Communications,76839.0,2.6,1.74,0,2023-11-14,147.4,22.1,3,3,5,5,30,2,2015-10-10,3.18
E0010,TSS,55707.0,3.9,3.14,0,2020-07-20,165.8,7.7,3,9,4,5,3,3,2016-01-24,2.46
E0011,Product Engineering,93606.92,3.15,3.07,1,2020-07-14,152.7,55.1,2,6,3,7,29,2,2020-10-19,2.753333333333334
E0012,Business Solution,81903.03,1.3299999999999998,2.4,1,2021-01-29,156.3,30.5,2,9,3,2,14,1,2016-03-27,2.6500000000000004
E0013,Finance,71815.9,2.0,3.27,0,2022-02-21,120.0,38.8,5,8,5,2,13,1,2020-04-09,2.8700000000000006
E0014,Finance,60459.34,2.2,2.28,0,2022-04-05,155.6,38.3,1,6,4,3,19,3,2021-05-19,2.9133333333333336
E0015,Finance,67256.26,5.3,4.36,0,2024-07-31,179.4,42.7,3,3,3,6,25,3,2021-08-29,2.65
E0016,PMO,68766.96,1.0499999999999998,3.16,1,2020-07-04,147.4,12.4,2,8,1,2,10,5,2022-08-11,3.3033333333333332
E0017,GRCS,63200.99,5.8,2.75,0,2025-01-20,161.1,9.3,2,3,1,6,15,3,2017-10-04,3.266666666666667
E0018,Sales,71142.54,3.0,2.46,0,2021-12-21,144.9,55.5,2,7,3,6,28,2,2019-06-09,3.423333333333334
E0019,HR,47971.19,3.1,4.3,0,2024-12-01,167.2,32.2,4,6,4,4,40,4,2024-04-26,2.7900000000000005
E0020,Customer Success,66298.77,4.4,3.46,0,2023-11-07,155.7,0.6,1,2,3,5,49,3,2022-04-17,3.1700000000000004
E0021,Datazone,65125.13,2.8,2.97,0,2022-02-26,141.2,32.4,4,1,4,4,38,2,2024-11-28,3.4066666666666667
E0022,HR,53118.28,3.36,,1,2024-02-07,186.7,10.7,1,4,4,2,7,4,2018-05-06,3.5766666666666667
E0023,Sales,88209.18,1.9,2.46,0,2022-08-25,178.6,17.4,2,5,1,2,14,3,2018-03-05,
E0024,Sales,85380.22,5.7,4.16,0,2020-05-03,147.9,28.3,2,4,2,6,30,3,2018-04-05,
E0025,Business Solution,72649.26,2.0,1.34,0,2021-08-22,170.0,18.4,3,5,3,5,40,4,2016-08-16,
E0026,Finance,77559.71,4.06,1.17,1,2023-11-17,170.7,55.2,1,10,2,2,12,2,2021-10-16,2.6533333333333338
E0027,GRCS,78282.47,2.0,2.52,0,2023-03-06,172.8,8.5,4,4,2,2,28,2,2019-05-19,2.2233333333333336
E0028,Customer Success,63021.78,2.2,2.7,0,2022-08-24,126.1,37.3,4,6,4,4,14,3,2023-10-01,1.676666666666667
E0029,TSS,48951.71,0.91,3.34,1,2021-08-09,180.1,27.0,1,5,4,3,1,2,2025-03-15,2.1300000000000003
E0030,Customer Success,76265.74,1.6,2.56,0,2022-02-10,148.6,10.7,3,4,4,3,4,4,2017-09-19,2.853333333333334
E0031,Finance,76029.9,2.6,3.49,0,2023-02-22,152.8,44.6,5,8,4,6,49,5,2019-03-26,2.866666666666667
E0032,TSS,70967.09,3.1,3.58,0,2021-02-24,200.0,31.3,4,5,4,3,18,2,2023-02-16,3.1300000000000003
E0033,Product Engineering,115749.18,4.6,3.54,0,2021-01-26,166.0,7.4,4,7,4,4,36,4,2019-08-09,3.2100000000000004
E0034,Product Engineering,85249.51,2.3,3.93,0,2023-07-07,152.3,37.5,1,2,3,4,32,2,2023-02-06,3.536666666666667
E0035,Business Solution,91331.46,0.84,2.9,1,2021-02-07,120.0,18.3,1,7,5,4,28,2,2019-08-17,3.6833333333333336
E0036,PMO,91995.84,3.3,1.66,0,2023-05-03,187.8,53.7,3,10,2,4,28,1,2015-06-11,3.456666666666667
E0037,Datazone,90534.63,2.9,2.83,0,2023-03-17,133.1,40.8,4,4,3,5,38,1,2023-03-13,2.8300000000000005
E0038,Marketing and Communications,72567.17,3.6,4.35,0,2022-07-13,139.9,30.2,2,5,3,0,32,8,2020-03-05,2.4633333333333334
E0039,Sales,71407.16,1.8,4.09,0,2020-08-25,153.4,26.9,3,3,5,3,8,8,2024-07-31,2.9466666666666668
E0040,Datazone,72906.63,1.9,2.76,0,2024-03-10,188.3,54.3,2,3,5,1,25,1,2017-12-20,3.7566666666666664
E0041,Sales,87377.0,1.8,4.06,0,2024-11-04,175.5,22.1,2,8,4,3,47,1,2016-07-15,3.733333333333333
E0042,TSS,66882.92,3.5699999999999994,1.99,1,2021-05-05,156.8,3.6,2,5,4,10,20,5,2022-10-18,3.6366666666666667
E0043,Product Engineering,70250.66,5.7,3.41,0,2023-07-03,166.2,30.0,4,7,3,3,33,2,2021-02-28,2.936666666666667
E0044,HR,60163.33,1.8,,0,2020-12-13,148.0,35.7,1,8,5,3,30,4,2025-04-12,3.1533333333333338
E0045,Customer Success,57066.96,1.9,4.1,0,2024-12-23,162.8,17.2,3,4,4,2,37,2,2020-05-15,
E0046,PMO,54051.43,3.8,3.1,0,2022-10-10,161.5,20.8,2,5,5,2,16,3,2022-07-02,
